date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,ticker,exercise_style
23/5/2012,25/5/2012,C,470000,99.7,101.8,121,1.161075,AAPL,A
23/5/2012,25/5/2012,C,475000,94.15,97.4,0,1.124303,AAPL,A
23/5/2012,25/5/2012,C,480000,89.2,91.5,0,,AAPL,A
23/5/2012,25/5/2012,C,485000,84.15,86.95,0,,AAPL,A
23/5/2012,25/5/2012,C,490000,79.25,81.45,0,,AAPL,A
23/5/2012,25/5/2012,C,495000,74.25,76.15,1,,AAPL,A
23/5/2012,25/5/2012,C,500000,70.3,71.1,291,0.794306,AAPL,A
23/5/2012,25/5/2012,C,505000,65.25,66.15,0,0.741683,AAPL,A
23/5/2012,25/5/2012,C,510000,60.65,61.15,285,0.791164,AAPL,A
23/5/2012,25/5/2012,C,515000,55.65,56.15,12,0.732881,AAPL,A
23/5/2012,25/5/2012,C,520000,50.65,51.15,580,0.674552,AAPL,A
23/5/2012,25/5/2012,C,525000,45.65,46.15,59,0.616107,AAPL,A
23/5/2012,25/5/2012,C,530000,40.65,41.2,412,0.564907,AAPL,A
23/5/2012,25/5/2012,C,535000,35.65,36.25,584,0.511944,AAPL,A
23/5/2012,25/5/2012,C,540000,30.95,31.25,2141,0.483767,AAPL,A
23/5/2012,25/5/2012,C,545000,26.05,26.35,3496,0.436585,AAPL,A
23/5/2012,25/5/2012,C,550000,21.5,21.6,9985,0.416086,AAPL,A
23/5/2012,25/5/2012,C,555000,16.7,17,17710,0.372419,AAPL,A
23/5/2012,25/5/2012,C,560000,12.55,12.7,43644,0.353246,AAPL,A
23/5/2012,25/5/2012,C,565000,8.85,8.9,28593,0.337681,AAPL,A
23/5/2012,25/5/2012,C,570000,5.8,5.85,35804,0.328795,AAPL,A
23/5/2012,25/5/2012,C,575000,3.5,3.6,28126,0.324229,AAPL,A
23/5/2012,25/5/2012,C,580000,1.96,2.05,16984,0.322447,AAPL,A
23/5/2012,25/5/2012,C,585000,1.1,1.13,8447,0.32894,AAPL,A
23/5/2012,25/5/2012,C,590000,0.58,0.62,6240,0.33681,AAPL,A
23/5/2012,25/5/2012,C,595000,0.34,0.37,1049,0.354072,AAPL,A
23/5/2012,25/5/2012,C,600000,0.2,0.25,3922,0.375041,AAPL,A
23/5/2012,25/5/2012,C,605000,0.15,0.21,360,0.409339,AAPL,A
23/5/2012,25/5/2012,C,610000,0.13,0.15,1205,0.439151,AAPL,A
23/5/2012,25/5/2012,C,615000,0.11,0.15,59,0.478859,AAPL,A
23/5/2012,25/5/2012,C,620000,0.08,0.13,79,0.507149,AAPL,A
23/5/2012,25/5/2012,C,625000,0.07,0.12,235,0.541752,AAPL,A
23/5/2012,25/5/2012,C,630000,0.06,0.08,852,0.560472,AAPL,A
23/5/2012,25/5/2012,P,470000,0.02,0.03,377,0.92797,AAPL,A
23/5/2012,25/5/2012,P,475000,0.02,0.04,22,0.897311,AAPL,A
23/5/2012,25/5/2012,P,480000,0.03,0.05,121,0.87563,AAPL,A
23/5/2012,25/5/2012,P,485000,0.02,0.05,84,0.816656,AAPL,A
23/5/2012,25/5/2012,P,490000,0.04,0.05,190,0.790464,AAPL,A
23/5/2012,25/5/2012,P,495000,0.04,0.07,603,0.759536,AAPL,A
23/5/2012,25/5/2012,P,500000,0.05,0.08,819,0.725105,AAPL,A
23/5/2012,25/5/2012,P,505000,0.07,0.08,655,0.688013,AAPL,A
