date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,ticker,exercise_style
23/5/2012,25/5/2012,C,21000,8.05,8.15,0,,MSFT,A
23/5/2012,25/5/2012,C,22000,7.05,7.15,0,,MSFT,A
23/5/2012,25/5/2012,C,23000,6.05,6.15,0,,MSFT,A
23/5/2012,25/5/2012,C,24000,5.05,5.15,0,,MSFT,A
23/5/2012,25/5/2012,C,25000,4.05,4.15,0,,MSFT,A
23/5/2012,25/5/2012,C,26000,3.05,3.15,50,,MSFT,A
23/5/2012,25/5/2012,C,27000,2.07,2.12,302,,MSFT,A
23/5/2012,25/5/2012,C,28000,1.1,1.13,1739,0.262573,MSFT,A
23/5/2012,25/5/2012,C,29000,0.29,0.31,3600,0.280688,MSFT,A
23/5/2012,25/5/2012,C,30000,0.02,0.03,23091,0.295604,MSFT,A
23/5/2012,25/5/2012,C,31000,0,0.01,24,0.395828,MSFT,A
23/5/2012,25/5/2012,C,32000,0,0.01,0,0.562053,MSFT,A
23/5/2012,25/5/2012,C,33000,0,0.01,0,0.717104,MSFT,A
23/5/2012,25/5/2012,C,34000,0,0.01,0,0.863421,MSFT,A
23/5/2012,25/5/2012,C,35000,0,0.01,0,1.002562,MSFT,A
23/5/2012,25/5/2012,C,36000,0,0.05,0,1.401086,MSFT,A
23/5/2012,25/5/2012,C,37000,0,0.05,0,1.550151,MSFT,A
23/5/2012,25/5/2012,C,38000,0,0.05,0,1.692952,MSFT,A
23/5/2012,25/5/2012,C,39000,0,0.05,0,1.830091,MSFT,A
23/5/2012,25/5/2012,P,21000,0,0.01,0,1.714967,MSFT,A
23/5/2012,25/5/2012,P,22000,0,0.01,0,1.491984,MSFT,A
23/5/2012,25/5/2012,P,23000,0,0.01,0,1.276699,MSFT,A
23/5/2012,25/5/2012,P,24000,0,0.01,0,1.067938,MSFT,A
23/5/2012,25/5/2012,P,25000,0,0.01,0,0.864469,MSFT,A
23/5/2012,25/5/2012,P,26000,0,0.01,0,0.664666,MSFT,A
23/5/2012,25/5/2012,P,27000,0,0.02,62,0.517355,MSFT,A
23/5/2012,25/5/2012,P,28000,0.03,0.04,5567,0.393154,MSFT,A
23/5/2012,25/5/2012,P,29000,0.21,0.23,1999,0.316534,MSFT,A
23/5/2012,25/5/2012,P,30000,0.92,0.96,1489,0.358576,MSFT,A
23/5/2012,25/5/2012,P,31000,1.9,1.94,119,0.542197,MSFT,A
23/5/2012,25/5/2012,P,32000,2.9,2.93,67,0.723172,MSFT,A
23/5/2012,25/5/2012,P,33000,3.9,3.95,0,0.964941,MSFT,A
23/5/2012,25/5/2012,P,34000,4.9,4.95,0,1.146111,MSFT,A
23/5/2012,25/5/2012,P,35000,5.9,5.95,0,1.317164,MSFT,A
23/5/2012,25/5/2012,P,36000,5.6,8.35,0,1.736874,MSFT,A
23/5/2012,25/5/2012,P,37000,6.65,9.8,0,2.63167,MSFT,A
23/5/2012,25/5/2012,P,38000,7.55,10.8,0,2.711314,MSFT,A
23/5/2012,25/5/2012,P,39000,8.5,11.75,0,2.762391,MSFT,A
23/5/2012,16/6/2012,C,16000,13.05,13.15,0,,MSFT,A
23/5/2012,16/6/2012,C,17000,10.95,12.95,0,,MSFT,A
23/5/2012,16/6/2012,C,18000,10,11.95,0,,MSFT,A
23/5/2012,16/6/2012,C,19000,8.9,10.95,0,,MSFT,A
23/5/2012,16/6/2012,C,20000,9.05,9.15,0,,MSFT,A
23/5/2012,16/6/2012,C,21000,8.05,8.15,0,,MSFT,A
23/5/2012,16/6/2012,C,22000,7.05,7.15,0,,MSFT,A
23/5/2012,16/6/2012,C,23000,6.05,6.15,0,,MSFT,A
23/5/2012,16/6/2012,C,24000,5.1,5.15,0,0.350595,MSFT,A
23/5/2012,16/6/2012,C,25000,4.1,4.2,20,0.344077,MSFT,A
23/5/2012,16/6/2012,C,26000,3.15,3.25,101,0.326465,MSFT,A
23/5/2012,16/6/2012,C,27000,2.25,2.28,760,0.285303,MSFT,A
23/5/2012,16/6/2012,C,28000,1.42,1.45,1616,0.26237,MSFT,A
23/5/2012,16/6/2012,C,29000,0.75,0.77,4494,0.241108,MSFT,A
23/5/2012,16/6/2012,C,30000,0.32,0.34,7794,0.23099,MSFT,A
23/5/2012,16/6/2012,C,31000,0.12,0.13,6641,0.23177,MSFT,A
23/5/2012,16/6/2012,C,32000,0.04,0.05,6885,0.23891,MSFT,A
23/5/2012,16/6/2012,C,33000,0.02,0.03,236,0.267285,MSFT,A
23/5/2012,16/6/2012,C,34000,0.01,0.02,206,0.294229,MSFT,A
23/5/2012,16/6/2012,C,35000,0,0.01,50,0.295451,MSFT,A
23/5/2012,16/6/2012,C,36000,0,0.02,0,0.363569,MSFT,A
23/5/2012,16/6/2012,C,37000,0,0.02,5,0.403592,MSFT,A
23/5/2012,16/6/2012,C,38000,0,0.02,0,0.442004,MSFT,A
23/5/2012,16/6/2012,C,39000,0,0.03,0,0.503615,MSFT,A
23/5/2012,16/6/2012,C,40000,0,0.02,0,0.514611,MSFT,A
23/5/2012,16/6/2012,C,41000,0,0.03,0,0.576352,MSFT,A
23/5/2012,16/6/2012,P,16000,0,0.03,0,0.997431,MSFT,A
23/5/2012,16/6/2012,P,17000,0,0.03,0,0.904777,MSFT,A
23/5/2012,16/6/2012,P,18000,0,0.02,0,0.777804,MSFT,A
23/5/2012,16/6/2012,P,19000,0,0.03,0,0.733637,MSFT,A
23/5/2012,16/6/2012,P,20000,0,0.02,0,0.621498,MSFT,A
23/5/2012,16/6/2012,P,21000,0,0.02,0,0.548358,MSFT,A
23/5/2012,16/6/2012,P,22000,0,0.02,0,0.477977,MSFT,A
23/5/2012,16/6/2012,P,23000,0.01,0.02,0,0.433028,MSFT,A
23/5/2012,16/6/2012,P,24000,0.02,0.04,310,0.405789,MSFT,A
23/5/2012,16/6/2012,P,25000,0.05,0.06,170,0.372979,MSFT,A
23/5/2012,16/6/2012,P,26000,0.09,0.1,1713,0.334531,MSFT,A
23/5/2012,16/6/2012,P,27000,0.17,0.18,4333,0.299725,MSFT,A
23/5/2012,16/6/2012,P,28000,0.34,0.35,2720,0.272317,MSFT,A
23/5/2012,16/6/2012,P,29000,0.67,0.69,5323,0.252838,MSFT,A
23/5/2012,16/6/2012,P,30000,1.24,1.25,1842,0.242119,MSFT,A
23/5/2012,16/6/2012,P,31000,2.01,2.04,631,0.239795,MSFT,A
23/5/2012,16/6/2012,P,32000,2.94,2.97,480,0.262676,MSFT,A
23/5/2012,16/6/2012,P,33000,3.9,3.95,19,0.288703,MSFT,A
23/5/2012,16/6/2012,P,34000,4.9,4.95,6,0.342721,MSFT,A
23/5/2012,16/6/2012,P,35000,5.85,5.95,0,0.332225,MSFT,A
23/5/2012,16/6/2012,P,36000,6.85,6.95,0,0.375179,MSFT,A
23/5/2012,16/6/2012,P,37000,7.05,8.9,0,0.567269,MSFT,A
23/5/2012,16/6/2012,P,38000,8.05,10,0,0.674601,MSFT,A
23/5/2012,16/6/2012,P,39000,9.05,11,0,0.724122,MSFT,A
23/5/2012,16/6/2012,P,40000,10.05,12,0,0.771631,MSFT,A
23/5/2012,16/6/2012,P,41000,11.85,11.95,0,0.565865,MSFT,A
23/5/2012,21/7/2012,C,13000,14.2,17.9,0,,MSFT,A
23/5/2012,21/7/2012,C,14000,13.2,16.7,0,,MSFT,A
23/5/2012,21/7/2012,C,15000,12.35,15.7,0,,MSFT,A
23/5/2012,21/7/2012,C,16000,12.3,13.8,0,,MSFT,A
23/5/2012,21/7/2012,C,17000,11.35,12.35,0,,MSFT,A
23/5/2012,21/7/2012,C,18000,10.65,11.25,0,,MSFT,A
23/5/2012,21/7/2012,C,19000,9.2,10.5,0,,MSFT,A
23/5/2012,21/7/2012,C,20000,9.1,9.15,0,0.345892,MSFT,A
23/5/2012,21/7/2012,C,21000,8.1,8.2,0,0.397026,MSFT,A
23/5/2012,21/7/2012,C,22000,7.15,7.2,0,0.385784,MSFT,A
23/5/2012,21/7/2012,C,23000,6.15,6.25,0,0.359246,MSFT,A
23/5/2012,21/7/2012,C,24000,5.25,5.3,0,0.357493,MSFT,A
23/5/2012,21/7/2012,C,25000,4.3,4.4,0,0.334701,MSFT,A
23/5/2012,21/7/2012,C,26000,3.45,3.5,124,0.317099,MSFT,A
23/5/2012,21/7/2012,C,27000,2.62,2.64,163,0.291711,MSFT,A
23/5/2012,21/7/2012,C,28000,1.87,1.89,1902,0.272404,MSFT,A
23/5/2012,21/7/2012,C,29000,1.24,1.26,2056,0.256714,MSFT,A
23/5/2012,21/7/2012,C,30000,0.74,0.76,711,0.241269,MSFT,A
23/5/2012,21/7/2012,C,31000,0.41,0.42,4668,0.232145,MSFT,A
23/5/2012,21/7/2012,C,32000,0.2,0.22,4623,0.225907,MSFT,A
